Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
#0019 ERGnomes Halloween '21 Special,Cute,Classic,Human,Satan,Octopus,Witch,Surprised,1684.93987,7c06945062ad6027df0e9dac1199d532a5caa319d0e0ab7d1d7876bbb8ff7426,1
#0102 ERGnomes Halloween '21 Special,Artist spirit,Classic,Monkey,Satan,Devil,Sticknose,Thug,1585.453418,2311c9e4441915481ed3fcf23091e240869bc2040c398d217baf81b2d9af49f9,2
#0002 ERGnomes Halloween '21 Special,Relaxed,The GOLDEN,Banana,No Eyes,Root,Starfish,Surprised,1377.14581,d32b256ae89f8dc0e7ee247eb8c8e20ed9d1ee0f359ef55c1db9f7ff0b128995,3
#0037 ERGnomes Halloween '21 Special,Punk rock spirit,Smurfkin,Dark robot,Bitcoin $BTC,Root,Sticknose,Chill,1357.921784,d59510a5003c85f039a3279bf14c8b63ccabd04bb6ebf15e2b0e22588a0a654c,4
#0001 ERGnomes Halloween '21 Special,Feisty,Mold,No ears,Hearts,Naked,Witch,Surprised,1340.716111,be0c35f14a3e833bdfbd6ec855f32a1a977c8a3821bfa35f5664531efc0a1a78,5
#0007 ERGnomes Halloween '21 Special,Punk rock spirit,Just white,Fairy nymnph,Strength,Funkystar,Clown,Chill,1281.062329,f2c3be1ada4db1fdac328a9a87198483b0deaf1243d2dfe42dc9fb7ecf8a2e6f,6
#0010 ERGnomes Halloween '21 Special,Fancy,The GOLDEN,Cocker spaniel,Wavy,Devil,Sticknose,Surprised,1278.722542,f61dcb8fb456f0fa601d8c77e53b25308f286889c9b7ad2e569efb23c9ca2516,7
#0158 ERGnomes Halloween '21 Special,Thinker,The GOLDEN,Easter bunny,Flowers,Nerd,Hook,Worried,1234.571082,d0bdec21634b46abb96840b0fa275f502251ed42e9c573146a1220f0af4cbd81,8
#0121 ERGnomes Halloween '21 Special,Radioactive,Mold,Infested,Satan,Devil,Eggplant,Angry,1156.632782,2a02d2a3df02d80ef9a2949a5af003d1e9f8ac36e2a2230f2908e504de68d463,9
#0022 ERGnomes Halloween '21 Special,Chill spirit,The artsy polkadot,Tropical fish,Spiderling,Chicken,Carrot,Chill,1107.932613,49188a23962ecc00a61566c1bbf285d765919090ea7c264366665292ce8d1f42,10
